Year,Lionel Messi,LeBron James,Cristiano Ronaldo,Neymar,Stephen Curry,Kevin Durant,Roger Federer,Canelo Alvarez,Tom Brady,Giannis Antetokounmpo,Conor McGregor,Dak Prescott,Lewis Hamilton,
2021,$130m,$96.5m,$120m,$95m,0,$75m,$90m,0,$76m,0,$180m,$97.5m,$82m,
2022,$130m,$121.2m,$115m,$95m,$92.8m,$92.1m,$90.7m,$90m,$83.9m,$80.9m,0,0,0,
