Year,Lionel Messi,LeBron James,Cristiano Ronaldo,Neymar,Stephen Curry,Kevin Durant,Roger Federer,Canelo Álvarez,Tom Brady,Giannis Antetokounmpo,Conor McGregor,Dak Prescott,Lewis Hamilton,
2021,130,96.5,120,95,0,75,90,0,76,0,180,97.5,82,
2022,130,121.2,115,95,92.8,92.1,90.7,90,83.9,80.9,0,0,0,
